id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
29029,7,17,0,1011,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29047,7,17,0,1029,Das Wort hat die Abgeordnete Sylvia Canel für die FDP-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29049,7,17,0,1031,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29075,7,17,0,1057,"Frau Canel, auch für Sie war das die erste Rede. Dazu beglückwünsche ich Sie im Namen des gesamten Hauses mit dem freundlichen Hinweis, dass die Redezeiten normalerweise eingehalten werden müssen. Alles Gute für die Arbeit hier.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29077,7,17,0,1059,Das Wort hat der Kollege Kai Gehring für das Bündnis 90/Die Grünen.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29100,7,17,0,1082,"Herr Kollege, kommen Sie zum Ende, bitte.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29102,7,17,0,1084,Herr Kollege.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29106,7,17,0,1088,Das Wort hat die Bundesministerin Dr. Annette Schavan.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29108,7,17,0,1090,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29184,7,17,0,1166,Die Abgeordnete Daniela Kolbe hat das Wort für die Fraktion der SPD.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29186,7,17,0,1168,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29208,7,17,0,1190,"Liebe Frau Kolbe, auch für Sie war dies die erste Rede hier im Haus. Dazu herzlichen Glückwunsch von uns allen und viel Erfolg bei Ihrer Arbeit im Parlament.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29210,7,17,0,1192,Der Kollege Patrick Meinhardt spricht jetzt für die FDP-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29212,7,17,0,1194,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29236,7,17,0,1218,Die Kollegin Dr. Rosemarie Hein hat jetzt das Wort für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29238,7,17,0,1220,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29262,7,17,0,1244,"Frau Dr. Hein, das war Ihre erste Rede in diesem Hohen Hause. Herzlichen Glückwunsch dazu! Alles Gute für Sie und Ihre Arbeit!",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
