nachname;vorname;partei;website;feed;fullname;wikidataq;wikidataurl;wikidataname;distance;wikidatawebsite;distance
de Vries;Kees;CDU;http://keesdevries.de;1;Kees de Vries;Q14943723;https://www.wikidata.org/wiki/Q14943723;Kees de Vries;0;http://keesdevries.de/;0
Dehm;Diether;DIE LINKE;http://www.diether-dehm.de;1;Diether Dehm;Q1223204;https://www.wikidata.org/wiki/Q1223204;Diether Dehm;0;http://www.diether-dehm.de/;0
Deligöz;Ekin;GRÜNE;http://www.ekin-deligoez.de;1;Ekin Deligöz;Q63798;https://www.wikidata.org/wiki/Q63798;Ekin Deligöz;0;http://www.ekin-deligoez.de/;0
Diaby;Karamba;SPD;http://www.karamba-diaby.de;;Karamba Diaby;Q14943496;https://www.wikidata.org/wiki/Q14943496;Karamba Diaby;0;http://www.karamba-diaby.de/;0
Dinges-Dierig;Alexandra;CDU;http://www.dinges-dierig.de;1;Alexandra Dinges-Dierig;Q2643580;https://www.wikidata.org/wiki/Q2643580;Alexandra Dinges-Dierig;0;http://www.dinges-dierig.de/;0
Dittmar;Sabine;SPD;https://sabine-dittmar.com;1;Sabine Dittmar;Q1421371;https://www.wikidata.org/wiki/Q1421371;Sabine Dittmar;0;https://sabine-dittmar.com/;0
Dobrindt;Alexander;CSU;http://www.alexander-dobrindt.de;;Alexander Dobrindt;Q85783;https://www.wikidata.org/wiki/Q85783;Alexander Dobrindt;0;http://www.alexander-dobrindt.de/;0
Donth;Michael;CDU;http://michael-donth.de;;Michael Donth;Q15813241;https://www.wikidata.org/wiki/Q15813241;Michael Donth;0;http://michael-donth.de;0
Dörflinger;Thomas;CDU;http://www.thomas-doerflinger.de;;Thomas Dörflinger;Q123880;https://www.wikidata.org/wiki/Q123880;Thomas Dörflinger;0;http://www.thomas-doerflinger.de/;0
Dörmann;Martin;SPD;http://martin-doermann.de;;Martin Dörmann;Q1287955;https://www.wikidata.org/wiki/Q1287955;Martin Dörmann;0;http://martin-doermann.de/;0
Dörner;Katja;GRÜNE;http://katja-doerner.de;1;Katja Dörner;Q990401;https://www.wikidata.org/wiki/Q990401;Katja Dörner;0;http://katja-doerner.de/;0
Dött;Marie-Luise;CDU;http://www.marie-luise-doett.de;;Marie-Luise Dött;Q1897181;https://www.wikidata.org/wiki/Q1897181;Marie-Luise Dött;0;http://www.marie-luise-doett.de/;0
Drobinski-Weiß;Elvira;SPD;http://www.elvira-drobinski-weiss.de;1;Elvira Drobinski-Weiß;Q1334256;https://www.wikidata.org/wiki/Q1334256;Elvira Drobinski-Weiß;0;http://www.elvira-drobinski-weiss.de/;0
Dröge;Katharina;GRÜNE;http://katharina-droege.de;1;Katharina Dröge;Q15795521;https://www.wikidata.org/wiki/Q15795521;Katharina Dröge;0;http://katharina-droege.de/;0
Durz;Hansjörg;CSU;http://www.hansjoerg-durz.de;;Hansjörg Durz;Q15813798;https://www.wikidata.org/wiki/Q15813798;Hansjörg Durz;0;http://www.hansjoerg-durz.de/;0
Eberl;Iris;CSU;http://iriseberl.de;;Iris Eberl;Q19828181;https://www.wikidata.org/wiki/Q19828181;Iris Eberl;0;http://iriseberl.de;0
Ebner;Harald;GRÜNE;http://harald-ebner.de;;Harald Ebner;Q1524836;https://www.wikidata.org/wiki/Q1524836;Harald Ebner;0;http://harald-ebner.de/;0
Eckenbach;Jutta;CDU;http://www.juttaeckenbach.de;;Jutta Eckenbach;Q15813783;https://www.wikidata.org/wiki/Q15813783;Jutta Eckenbach;0;http://www.juttaeckenbach.de/;0
Ehrmann;Siegmund;SPD;http://www.siegmund-ehrmann.de;1;Siegmund Ehrmann;Q1469989;https://www.wikidata.org/wiki/Q1469989;Siegmund Ehrmann;0;http://www.siegmund-ehrmann.de/;0
Engelmeier-Heite;Michaela;SPD;http://www.michaela-engelmeier.de;;Michaela Engelmeier-Heite;Q1930023;https://www.wikidata.org/wiki/Q1930023;Michaela Engelmeier-Heite;0;http://www.michaela-engelmeier.de;0
Erler;Gernot;SPD;http://www.gernot-erler.de;1;Gernot Erler;Q92459;https://www.wikidata.org/wiki/Q92459;Gernot Erler;0;http://www.gernot-erler.de/;0
Ernst;Klaus;DIE LINKE;http://www.klaus-ernst-mdb.de;1;Klaus Ernst;Q26206;https://www.wikidata.org/wiki/Q26206;Klaus Ernst;0;http://www.klaus-ernst-mdb.de/;0
Ernstberger;Petra;SPD;http://www.petra-ernstberger.de;;Petra Ernstberger;Q1383164;https://www.wikidata.org/wiki/Q1383164;Petra Ernstberger;0;http://www.petra-ernstberger.de/;0
Esken;Saskia;SPD;http://www.saskiaesken.de;1;Saskia Esken;Q15813082;https://www.wikidata.org/wiki/Q15813082;Saskia Esken;0;http://www.saskiaesken.de/;0
Evers-Meyer;Karin;SPD;http://evers-meyer.de;1;Karin Evers-Meyer;Q96198;https://www.wikidata.org/wiki/Q96198;Karin Evers-Meyer;0;http://evers-meyer.de/;0
Fabritius;Bernd;CSU;http://www.berndfabritius.de;1;Bernd Fabritius;Q823426;https://www.wikidata.org/wiki/Q823426;Bernd Fabritius;0;http://www.berndfabritius.de;0
Färber;Hermann;CDU;http://www.hermann-faerber.de;1;Hermann Färber;Q15434637;https://www.wikidata.org/wiki/Q15434637;Hermann Färber;0;http://www.hermann-faerber.de/;0
Fechner;Johannes;SPD;http://www.johannesfechner.de;1;Johannes Fechner;Q15434300;https://www.wikidata.org/wiki/Q15434300;Johannes Fechner;0;http://www.johannesfechner.de/;0
Feiler;Uwe;CDU;http://www.uwe-feiler.de;1;Uwe Feiler;Q15813196;https://www.wikidata.org/wiki/Q15813196;Uwe Feiler;0;http://www.uwe-feiler.de/;0
Feist;Thomas;CDU;http://thomasfeist.de;1;Thomas Feist;Q99545;https://www.wikidata.org/wiki/Q99545;Thomas Feist;0;http://thomasfeist.de/;0
Felgentreu;Fritz;SPD;https://fritz-felgentreu.de;;Fritz Felgentreu;Q1466201;https://www.wikidata.org/wiki/Q1466201;Fritz Felgentreu;0;https://fritz-felgentreu.de/;0
Ferlemann;Enak;CDU;https://www.enak-ferlemann.de;1;Enak Ferlemann;Q1285697;https://www.wikidata.org/wiki/Q1285697;Enak Ferlemann;0;https://www.enak-ferlemann.de/;0
Ferner;Elke;SPD;http://www.elke-ferner.de;1;Elke Ferner;Q1331482;https://www.wikidata.org/wiki/Q1331482;Elke Ferner;0;http://www.elke-ferner.de/;0
Finckh-Krämer;Ute;SPD;http://www.finckh-kraemer.de;1;Ute Finckh-Krämer;Q15449253;https://www.wikidata.org/wiki/Q15449253;Ute Finckh-Krämer;0;http://www.finckh-kraemer.de/;0
Fischbach;Ingrid;CDU;http://ingrid-fischbach.de/;;Ingrid Fischbach;Q1663310;https://www.wikidata.org/wiki/Q1663310;Ingrid Fischbach;0;http://ingrid-fischbach.de/;0
Fischer;Dirk;CDU;http://www.dirkfischermdb.de;;Dirk Fischer;Q1227843;https://www.wikidata.org/wiki/Q1227843;Dirk Fischer;0;http://www.dirkfischermdb.de/;0
Fischer;Axel;CDU;http://www.fischer-mdb.de;;Axel Fischer;Q22939;https://www.wikidata.org/wiki/Q22939;Axel Fischer;0;http://www.fischer-mdb.de/;0
Flachsbarth;Maria;CDU;http://www.flachsbarth.info;1;Maria Flachsbarth;Q1895870;https://www.wikidata.org/wiki/Q1895870;Maria Flachsbarth;0;http://www.flachsbarth.info/;0
Flisek;Christian;SPD;https://christian-flisek.de;1;Christian Flisek;Q15794187;https://www.wikidata.org/wiki/Q15794187;Christian Flisek;0;https://christian-flisek.de/;0
Flosbach;Klaus-Peter;CDU;http://www.klaus-peter-flosbach.de;;Klaus-Peter Flosbach;Q1744803;https://www.wikidata.org/wiki/Q1744803;Klaus-Peter Flosbach;0;http://www.klaus-peter-flosbach.de/;0
Fograscher;Gabriele;SPD;https://gabi-fograscher.de;1;Gabriele Fograscher;Q1490252;https://www.wikidata.org/wiki/Q1490252;Gabriele Fograscher;0;https://gabi-fograscher.de/;0
Franke;Edgar;SPD;http://www.edgarfranke.de;;Edgar Franke;Q1283882;https://www.wikidata.org/wiki/Q1283882;Edgar Franke;0;http://www.edgarfranke.de/;0
Freese;Ulrich;SPD;http://www.ulrich-freese.de;1;Ulrich Freese;Q2475804;https://www.wikidata.org/wiki/Q2475804;Ulrich Freese;0;http://www.ulrich-freese.de/;0
Frei;Thorsten;CDU;http://www.thorsten-frei.de;;Thorsten Frei;Q2429104;https://www.wikidata.org/wiki/Q2429104;Thorsten Frei;0;http://www.thorsten-frei.de/;0
